"VIVIENDA_REF_ID";"RADIO_REF_ID";"TIPVV";"V01";"V02";"V00";"URP";"INCALSERV";"INMAT";"MUNI";"LOCAL";"INCALCONS";"TOTHOG"
10968994;41436;1;1;1;0;1;1;2;580350042;58035030;2;1
10880571;41120;1;4;1;0;1;1;1;580350056;58035070;1;1
10966631;41428;1;1;1;0;1;1;1;580350056;58035070;1;1
10906990;41212;1;4;1;0;1;1;1;580350056;58035070;1;1
10963766;41419;1;1;1;0;1;1;1;580350056;58035070;1;1
10881559;41123;1;4;1;0;1;1;1;580350056;58035070;1;1
10859238;41049;1;4;1;0;1;1;1;580350056;58035070;1;1
10951952;41368;1;1;1;0;1;3;1;580350063;58035090;3;1
10928950;41286;1;8;1;0;1;3;1;580350042;58035030;3;1
10925409;41270;1;8;1;0;3;2;1;580350091;58035000;1;1
10908045;41215;1;4;1;0;1;1;1;580350056;58035070;1;1
10859344;41049;1;4;1;0;1;1;1;580350056;58035070;1;1
10880235;41119;1;1;1;0;1;3;1;580350056;58035070;1;1
10857305;41043;1;1;1;0;1;1;1;580350056;58035070;1;2
10944779;41342;1;1;1;0;2;1;2;580350084;58035120;2;1
10891852;41159;1;4;1;0;1;1;1;580350056;58035070;1;1
10920105;41255;1;1;1;0;1;1;2;580350056;58035070;2;1
10915416;41239;1;1;1;0;1;1;1;580350056;58035070;1;1
10886462;41141;1;1;1;0;1;1;1;580350056;58035070;1;1
10895794;41171;1;4;1;0;1;1;1;580350056;58035070;1;1
10881887;41124;1;4;1;0;1;1;1;580350056;58035070;1;1
10942546;41334;1;4;1;0;1;1;1;580350070;58035100;1;1
10855771;41039;1;1;1;0;1;1;1;580350056;58035070;1;2
10882538;41126;1;1;1;0;1;1;1;580350056;58035070;1;1
10961439;41408;1;1;1;0;1;1;1;580350049;58035040;1;1
10966151;41426;1;1;1;0;1;1;1;580350056;58035070;1;1
10855503;41037;1;4;1;0;1;1;1;580350056;58035070;1;1
10889989;41152;1;1;1;0;1;1;1;580350056;58035070;1;1
10926583;41276;1;1;1;0;1;3;4;580350042;58035030;3;1
10952841;41374;1;4;1;0;1;1;2;580350049;58035040;2;1
10971782;41447;1;1;1;0;1;1;2;580350042;58035030;2;1
10943477;41336;1;1;1;0;1;2;1;580350070;58035100;3;1
10868412;41079;1;4;1;0;1;1;1;580350056;58035070;1;1
10877719;41110;1;1;1;0;1;1;1;580350056;58035070;1;1
10933444;41303;1;1;1;0;1;1;1;580350070;58035100;1;1
10961111;41406;1;1;1;0;1;1;3;580350049;58035040;3;1
